TimeWindow  Iteration  ResRel(DisplacementDelta)  ResRel(Force)  
1  1  1.0000000000000000  1.0000000000000000  
1  2  0.8870114540463092  0.0018403304401001  
1  3  0.0132485109699402  0.0067604308144490  
1  4  0.0000033788835828  0.0000115722009004  
2  1  0.7490791758578305  0.6655022929957907  
2  2  0.0597782039801874  0.0080975138538892  
2  3  0.0055922991517369  0.0003839210124428  
2  4  0.0000006351894771  0.0000339004590455  
3  1  0.1279150569084863  0.3937367392078525  
3  2  0.0000389362301358  0.0010796467361351  
3  3  0.0000001489291601  0.0000000357432670  
4  1  0.0458739960042831  0.2777181779387506  
4  2  1.7778702067987633  1.0992340491534975  
4  3  0.8901967104318874  9.2376692360287258  
4  4  0.6540754950033305  0.0032705830569713  
4  5  0.4044675728256014  0.0014662010899307  
4  6  0.2841715984757442  0.0005820805102365  
4  7  0.1804245624036876  0.0004695189527648  
4  8  0.0000560728328469  0.0007556049679488  
